"Entity","vaccination_policy","lasted","lon","lat"
"Afghanistan","Dos grupos vulnerables",2021-05-03,67.709953,33.93911
"Albania","Dos grupos vulnerables",2021-05-07,20.168331,41.153332
"Algeria","Todos los grupos vulnerables",2021-04-26,1.659626,28.033886
"Andorra","Vulnerables más otros",2021-04-27,1.521801,42.506285
"Angola","Todos los grupos vulnerables",2021-05-09,17.873887,-11.202692
"Argentina","Todos los grupos vulnerables",2021-05-09,-63.616672,-38.416097
"Aruba","Todos",2021-05-09,-69.968338,12.52111
"Australia","Vulnerables más otros",2021-05-07,133.775136,-25.274398
"Austria","Todos los grupos vulnerables",2021-05-09,14.550072,47.516231
"Azerbaijan","Vulnerables más otros",2021-05-06,47.576927,40.143105
"Bahamas","Vulnerables más otros",2021-05-09,-77.39628,25.03428
"Bahrain","Todos los grupos vulnerables",2021-05-03,50.5577,26.0667
"Bangladesh","Vulnerables más otros",2021-04-26,90.3443647,23.506657
"Barbados","Todos los grupos vulnerables",2021-04-25,-59.543198,13.193887
"Belarus","Un grupo vulnerable",2021-05-02,27.953389,53.709807
"Belgium","Todos los grupos vulnerables",2021-05-08,4.469936,50.503887
"Belize","Todos los grupos vulnerables",2021-05-08,-88.49765,17.189877
"Benin","Todos los grupos vulnerables",2021-05-09,2.315834,9.30769
"Bermuda","Todos los grupos vulnerables",2021-04-26,-64.7505,32.3078
"Bhutan","Vulnerables más otros",2021-04-19,90.433601,27.514162
"Bolivia","Dos grupos vulnerables",2021-05-01,-63.588653,-16.290154
"Bosnia and Herzegovina","Todos los grupos vulnerables",2021-05-06,17.679076,43.915886
"Botswana","Un grupo vulnerable",2021-05-08,24.684866,-22.328474
"Brazil","Todos los grupos vulnerables",2021-05-02,-51.92528,-14.235004
"Brunei","Todos los grupos vulnerables",2021-05-05,114.727669,4.535277
"Bulgaria","Todos",2021-05-05,25.48583,42.733883
"Burkina Faso","Ninguna",2021-04-25,-1.561593,12.238333
"Burundi","Ninguna",2021-05-03,29.918886,-3.373056
"Cambodia","Vulnerables más otros",2021-05-03,104.990963,12.565679
"Cameroon","Ninguna",2021-05-03,12.354722,7.369722
"Canada","Todos los grupos vulnerables",2021-05-07,-106.346771,56.130366
"Cape Verde","Todos los grupos vulnerables",2021-05-05,-23.0418,16.5388
"Central African Republic","Ninguna",2021-05-09,20.939444,6.611111
"Chad","Ninguna",2021-05-09,18.732207,15.454166
"Chile","Vulnerables más otros",2021-05-02,-71.542969,-35.675147
"China","Vulnerables más otros",2021-05-03,104.195397,35.86166
"Colombia","Todos los grupos vulnerables",2021-05-08,-74.297333,4.570868
"Comoros","Ninguna",2020-12-07,43.3333,-11.6455
"Congo","Ninguna",2021-04-19,21.758664,-4.038333
"Costa Rica","Vulnerables más otros",2021-05-08,-83.753428,9.748917
"Cote d'Ivoire","Todos",2021-04-26,-5.54708,7.539989
"Croatia","Vulnerables más otros",2021-05-06,15.2000001,45.1
"Cuba","Dos grupos vulnerables",2021-05-02,-77.781167,21.521757
"Cyprus","Todos los grupos vulnerables",2021-05-09,33.429859,35.126413
"Czechia","Todos los grupos vulnerables",2021-05-02,15.472962,49.817492
"Democratic Republic of Congo","Ninguna",2021-05-03,21.758664,-4.038333
"Denmark","Todos los grupos vulnerables",2021-05-07,9.501785,56.26392
"Djibouti","Todos los grupos vulnerables",2021-04-25,42.590275,11.825138
"Dominica","Todos",2021-04-13,-61.370976,15.414999
"Dominican Republic","Dos grupos vulnerables",2021-05-03,-70.162651,18.735693
"Ecuador","Todos los grupos vulnerables",2021-05-03,-78.183406,-1.831239
"Egypt","Todos los grupos vulnerables",2021-05-09,30.802498,26.820553
"El Salvador","Vulnerables más otros",2021-05-03,-88.89653,13.794185
"Eritrea","Ninguna",2021-04-25,39.782334,15.179384
"Estonia","Vulnerables más otros",2021-05-08,25.0136071,58.595272
"Eswatini","Todos los grupos vulnerables",2021-04-26,31.465866,-26.522503
"Ethiopia","Todos los grupos vulnerables",2021-05-07,40.489673,9.145
"Faeroe Islands","Dos grupos vulnerables",2021-04-25,-6.9118061,61.892635
"Fiji","Todos los grupos vulnerables",2021-05-08,178.065032,-17.713371
"Finland","Todos los grupos vulnerables",2021-05-07,25.7481511,61.92411
"France","Vulnerables más otros",2021-05-07,2.213749,46.227638
"Gabon","Dos grupos vulnerables",2021-04-19,11.609444,-0.803689
"Gambia","Vulnerables más otros",2021-04-19,-15.310139,13.443182
"Georgia","Dos grupos vulnerables",2021-04-26,-82.9000751,32.1656221
"Germany","Todos los grupos vulnerables",2021-05-09,10.451526,51.165691
"Ghana","Todos los grupos vulnerables",2021-05-02,-1.023194,7.946527
"Greece","Dos grupos vulnerables",2021-04-21,21.824312,39.074208
"Greenland","Todos los grupos vulnerables",2021-04-27,-42.604303,71.706936
"Guatemala","Un grupo vulnerable",2021-04-26,-90.230759,15.783471
"Guinea","Todos los grupos vulnerables",2021-05-03,-9.696645,9.945587
"Guyana","Vulnerables más otros",2021-05-02,-58.93018,4.860416
"Haiti","Ninguna",2021-05-08,-72.285215,18.971187
"Honduras","Ninguna",2021-05-04,-86.241905,15.199999
"Hong Kong","Vulnerables más otros",2021-05-01,114.1693611,22.3193039
"Hungary","Todos",2021-04-30,19.5033041,47.162494
"Iceland","Todos los grupos vulnerables",2021-05-09,-19.020835,64.963051
"India","Vulnerables más otros",2021-04-30,78.96288,20.593684
"Indonesia","Dos grupos vulnerables",2021-04-26,113.921327,-0.789275
"Iran","Dos grupos vulnerables",2021-05-02,53.688046,32.427908
"Iraq","Todos los grupos vulnerables",2021-04-19,43.679291,33.223191
"Ireland","Todos los grupos vulnerables",2021-05-08,-7.6920536,53.1423672
"Israel","Todos",2021-05-09,34.851612,31.046051
"Italy","Todos los grupos vulnerables",2021-05-07,12.56738,41.87194
"Jamaica","Dos grupos vulnerables",2021-04-30,-77.297508,18.109581
"Japan","Un grupo vulnerable",2021-05-07,138.252924,36.204824
"Jordan","Vulnerables más otros",2021-04-26,-95.9882368,36.1500042
"Kazakhstan","Todos",2021-05-09,66.923684,48.019573
"Kenya","Dos grupos vulnerables",2021-04-26,37.906193,-0.023559
"Kosovo","Dos grupos vulnerables",2021-04-27,20.902977,42.6026359
"Kuwait","Todos los grupos vulnerables",2021-04-26,47.481766,29.31166
"Kyrgyzstan","Vulnerables más otros",2021-05-08,74.766098,41.20438
"Laos","Todos los grupos vulnerables",2021-04-26,102.495496,19.85627
"Latvia","Todos",2021-05-09,24.603189,56.879635
"Lebanon","Todos los grupos vulnerables",2021-05-03,35.862285,33.854721
"Lesotho","Un grupo vulnerable",2021-05-09,28.233608,-29.609988
"Liberia","Dos grupos vulnerables",2021-04-26,-9.429499,6.428055
"Libya","Ninguna",2021-04-19,17.228331,26.3351
"Lithuania","Dos grupos vulnerables",2021-05-02,23.881275,55.169438
"Luxembourg","Todos",2021-05-08,6.129583,49.815273
"Macao","Vulnerables más otros",2021-05-03,113.543873,22.198745
"Madagascar","Ninguna",2021-04-19,46.869107,-18.766947
"Malawi","Todos",2021-05-09,34.301525,-13.254308
"Malaysia","Todos los grupos vulnerables",2021-05-03,101.975766,4.210484
"Mali","Todos los grupos vulnerables",2021-05-03,-3.996166,17.570692
"Malta","Vulnerables más otros",2021-05-10,14.375416,35.937496
"Mauritania","Todos los grupos vulnerables",2021-04-20,-10.940835,21.00789
"Mauritius","Un grupo vulnerable",2021-05-03,57.552152,-20.348404
"Mexico","Todos los grupos vulnerables",2021-05-03,-102.552784,23.634501
"Moldova","Todos los grupos vulnerables",2021-05-04,28.369885,47.411631
"Monaco","Vulnerables más otros",2021-05-09,7.4246158,43.7384176
"Mongolia","Vulnerables más otros",2021-05-10,103.846656,46.862496
"Morocco","Todos los grupos vulnerables",2021-05-08,-7.09262,31.791702
"Mozambique","Todos los grupos vulnerables",2021-05-04,35.529562,-18.665695
"Myanmar","Dos grupos vulnerables",2021-04-25,95.955974,21.916221
"Namibia","Vulnerables más otros",2021-04-12,18.49041,-22.95764
"Nepal","Dos grupos vulnerables",2021-05-03,84.124008,28.394857
"Netherlands","Todos los grupos vulnerables",2021-05-06,5.291266,52.132633
"New Zealand","Dos grupos vulnerables",2021-04-26,174.885971,-40.900557
"Nicaragua","Un grupo vulnerable",2021-04-26,-85.207229,12.865416
"Niger","Ninguna",2021-04-19,8.081666,17.607789
"Nigeria","Vulnerables más otros",2021-04-26,8.675277,9.081999
"Norway","Todos los grupos vulnerables",2021-05-06,8.468946,60.472024
"Oman","Todos los grupos vulnerables",2021-05-03,55.975413,21.4735329
"Pakistan","Dos grupos vulnerables",2021-04-18,69.345116,30.375321
"Palestine","Vulnerables más otros",2021-04-30,35.233154,31.952162
"Panama","Dos grupos vulnerables",2021-05-03,-80.782127,8.537981
"Papua New Guinea","Un grupo vulnerable",2021-05-09,143.95555,-6.314993
"Paraguay","Todos los grupos vulnerables",2021-05-02,-58.443832,-23.442503
"Peru","Todos los grupos vulnerables",2021-05-09,-75.015152,-9.189967
"Philippines","Todos los grupos vulnerables",2021-04-26,121.774017,12.879721
"Poland","Todos",2021-05-07,19.145136,51.919438
"Portugal","Todos los grupos vulnerables",2021-05-07,-8.224454,39.399872
"Qatar","Vulnerables más otros",2021-05-03,51.183884,25.354826
"Romania","Todos",2021-05-09,24.96676,45.943161
"Russia","Todos",2021-05-09,105.318756,61.52401
"Rwanda","Dos grupos vulnerables",2021-05-02,29.873888,-1.940278
"San Marino","Vulnerables más otros",2021-04-26,12.457777,43.94236
"Saudi Arabia","Todos",2021-05-03,45.079162,23.885942
"Senegal","Todos",2021-05-03,-14.452362,14.497401
"Serbia","Todos",2021-05-03,21.005859,44.016521
"Seychelles","Todos",2021-05-03,55.491977,-4.679574
"Sierra Leone","Vulnerables más otros",2021-04-26,-11.779889,8.460555
"Singapore","Vulnerables más otros",2021-05-09,103.819836,1.352083
"Slovakia","Vulnerables más otros",2021-04-26,19.699024,48.669026
"Slovenia","Todos los grupos vulnerables",2021-04-26,14.995463,46.151241
"Solomon Islands","Un grupo vulnerable",2021-04-26,160.156194,-9.64571
"Somalia","Dos grupos vulnerables",2021-05-09,46.199616,5.152149
"South Africa","Dos grupos vulnerables",2021-05-03,22.937506,-30.559482
"South Korea","Todos los grupos vulnerables",2021-05-08,127.766922,35.907757
"South Sudan","Dos grupos vulnerables",2021-05-03,31.3069788,6.8769919
"Spain","Dos grupos vulnerables",2021-05-09,-3.74922,40.463667
"Sri Lanka","Vulnerables más otros",2021-05-08,80.771797,7.873054
"Sudan","Todos los grupos vulnerables",2021-05-07,30.217636,12.862807
"Suriname","Vulnerables más otros",2021-05-03,-56.027783,3.919305
"Sweden","Todos los grupos vulnerables",2021-05-07,18.643501,60.128161
"Switzerland","Todos los grupos vulnerables",2021-05-06,8.227512,46.818188
"Syria","Un grupo vulnerable",2021-05-03,38.996815,34.802075
"Taiwan","Todos los grupos vulnerables",2021-05-03,120.960515,23.69781
"Tajikistan","Un grupo vulnerable",2021-04-26,71.276093,38.861034
"Tanzania","Ninguna",2021-05-03,34.888822,-6.369028
"Thailand","Ninguna",2021-04-26,100.992541,15.870032
"Timor","Un grupo vulnerable",2021-04-26,125.727539,-8.874217
"Togo","Dos grupos vulnerables",2021-05-09,0.824782,8.619543
"Tonga","Un grupo vulnerable",2021-05-02,-175.198242,-21.178986
"Trinidad and Tobago","Dos grupos vulnerables",2021-04-18,-61.222503,10.691803
"Tunisia","Todos los grupos vulnerables",2021-04-30,9.560764,33.881967
"Turkey","Todos los grupos vulnerables",2021-04-25,35.243322,38.963745
"Uganda","Un grupo vulnerable",2021-04-23,32.290275,1.373333
"Ukraine","Dos grupos vulnerables",2021-05-03,31.1655799,48.379433
"United Arab Emirates","Vulnerables más otros",2021-05-09,53.847818,23.424076
"United Kingdom","Vulnerables más otros",2021-05-07,-3.435973,55.378051
"United States","Todos",2021-05-08,-95.712891,37.09024
"Uruguay","Todos los grupos vulnerables",2021-04-18,-55.765835,-32.522779
"Uzbekistan","Vulnerables más otros",2021-05-09,64.585262,41.377491
"Vanuatu","Ninguna",2021-05-03,166.959158,-15.376706
"Venezuela","Un grupo vulnerable",2021-05-10,-66.58973,6.42375
"Vietnam","Todos los grupos vulnerables",2021-04-26,108.277199,14.058324
"Yemen","Todos los grupos vulnerables",2021-05-03,48.516388,15.552727
"Zambia","Un grupo vulnerable",2021-05-08,27.849332,-13.133897
"Zimbabwe","Vulnerables más otros",2021-05-09,29.154857,-19.015438
